ID Institution,Institution,ID Stage 1a,Stage 1a,ID Stage 1b,Stage 1b,ID Stage 2,Stage 2,Avg efectiveness,Avg overcoming,Avg initiative,Avg integration,Avg improvement,Avg fairness,Avg sned_score
10792,LICEO POLIV. EL BOLLENAR,2,Rural,4,Media rural (con o sin básica),41,Media rural (con o sin básica) grupo 1,56.03196716308594,47.76610565185547,96.90908813476562,83.33333587646484,92.59259033203125,96.97443389892578,67.27377319335938
10794,ESCUELA SANTA ROSA ESMERALDA,2,Rural,3,Básica rural,23,Básica rural grupo 3,54.96806335449219,44.0190544128418,94.18000030517578,77.75,100.0,97.0229263305664,65.54685974121094
10795,ESCUELA CLAUDIO ARRAU,2,Rural,3,Básica rural,22,Básica rural grupo 2,61.054325103759766,35.91017532348633,94.4000015258789,68.16666412353516,92.59259033203125,97.04093170166016,64.91813659667969
10796,ESCUELA PATRICIO LARRAIN GANDARILLAS,2,Rural,3,Básica rural,22,Básica rural grupo 2,54.434913635253906,42.202247619628906,97.69999694824219,98.33333587646484,92.59259033203125,97.1563720703125,65.96247100830078
10797,ESCUELA PEDRO MARIN ALEMANY,2,Rural,3,Básica rural,22,Básica rural grupo 2,67.65071868896484,45.286163330078125,100.0,89.83333587646484,92.59259033203125,97.01215362548828,71.39707946777344
10798,ESCUELA BASICA CARMEN BAJO,2,Rural,3,Básica rural,22,Básica rural grupo 2,56.35098648071289,48.67139434814453,53.400001525878906,15.199999809265137,92.59259033203125,97.16188049316406,61.66931915283203
10799,ESCUELA RAMON NOGUERA PRIETO,2,Rural,3,Básica rural,22,Básica rural grupo 2,65.86861419677734,46.430206298828125,97.5999984741211,80.16666412353516,92.59259033203125,96.96971130371094,70.4213638305664
10800,ESCUELA CHOLQUI,2,Rural,3,Básica rural,23,Básica rural grupo 3,25.159103393554688,45.67878723144531,0.0,0.0,92.59259033203125,96.07186889648438,45.08659362792969
10805,ESCUELA PUANGUE,2,Rural,3,Básica rural,22,Básica rural grupo 2,54.204254150390625,46.39578628540039,79.93333435058594,70.19999694824219,92.59259033203125,97.15706634521484,64.57880401611328
10810,ESCUELA LIDIA MATTE HURTADO,2,Rural,3,Básica rural,22,Básica rural grupo 2,65.877197265625,47.60179901123047,100.0,100.0,91.76954650878906,97.11112976074219,71.90290832519531
10816,ESCUELA JOSE CAMARENA ESCRIVA,2,Rural,3,Básica rural,22,Básica rural grupo 2,62.373653411865234,54.07161331176758,100.0,98.33333587646484,92.59259033203125,96.96338653564453,72.31876373291016
10818,ESCUELA HUECHUN,2,Rural,3,Básica rural,23,Básica rural grupo 3,53.50745391845703,42.831058502197266,80.9222183227539,83.4000015258789,74.0740737915039,97.17488098144531,63.675743103027344
10821,ESCUELA RAQUEL FERNANDEZ DE MORANDE,2,Rural,3,Básica rural,22,Básica rural grupo 2,70.72235107421875,63.04200744628906,92.94444274902344,82.0,100.0,96.98724365234375,76.83289337158203
10825,ESCUELA PADRE ALBERTO HURTADO,2,Rural,3,Básica rural,23,Básica rural grupo 3,58.51970291137695,49.16115188598633,64.11250305175781,42.5,92.59259033203125,97.03143310546875,64.58792877197266
10827,ESCUELA BASICA EL PABELLON,2,Rural,3,Básica rural,22,Básica rural grupo 2,62.499629974365234,49.878421783447266,94.8499984741211,58.91666793823242,99.24026489257812,96.97602844238281,69.04718780517578
10828,COLEGIO PARTICULAR ALONSO DE ERCILLA,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,75.58816528320312,42.61454772949219,79.5999984741211,71.25,92.59259033203125,95.52092742919922,71.10465240478516
10829,ESC. BAS. NUESTRA SEÑORA Y MADRE DEL CARMEN,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,58.76714324951172,52.319496154785156,86.05000305175781,62.16666793823242,100.0,97.01182556152344,68.00724029541016
